DAP,median,q25,q75,mean,std
8.400000000000000000e+01,2.645258340152215837e+00,2.433929334996050464e+00,2.941554231744692771e+00,2.701902931109756878e+00,4.164048455230641155e-01
8.500000000000000000e+01,2.708128231040505263e+00,2.460018250274529361e+00,3.007576050949986701e+00,2.742353457136175621e+00,4.477336035758454069e-01
8.600000000000000000e+01,2.676726134083507791e+00,2.447356277527179547e+00,2.999989311686589666e+00,2.739321681448009915e+00,4.533886650227244020e-01
8.700000000000000000e+01,2.677262464774841533e+00,2.442878037142374836e+00,3.007864038439705734e+00,2.741407228796440165e+00,4.635335980095275921e-01
8.800000000000000000e+01,2.726795430097087358e+00,2.499360034948297393e+00,3.046957796511870598e+00,2.788613410941083171e+00,4.492433679986511108e-01
8.900000000000000000e+01,2.764915819992201040e+00,2.516109718972230347e+00,3.032018680565571778e+00,2.777113659694467884e+00,4.213261975574839058e-01
9.000000000000000000e+01,2.736813965800251047e+00,2.502218676642826711e+00,3.011664838549077849e+00,2.763651021527852691e+00,4.163936939572973062e-01
9.100000000000000000e+01,2.745131687045732072e+00,2.493462390762148928e+00,3.015582137613324054e+00,2.757652456568404631e+00,4.264009125256145172e-01
9.200000000000000000e+01,2.719958273602566479e+00,2.483938783594467736e+00,3.041069762486015016e+00,2.776686272852799675e+00,4.566606888159990274e-01
9.300000000000000000e+01,2.711180452880992853e+00,2.466287139897012537e+00,3.026205348980418819e+00,2.757934841624623434e+00,4.583651241192349679e-01
9.400000000000000000e+01,2.700819802735409780e+00,2.443720853190737063e+00,3.008348196976866618e+00,2.734439432533266157e+00,4.616288169671884933e-01
9.500000000000000000e+01,2.703304628970175649e+00,2.447357186059018197e+00,2.992624292201405467e+00,2.725552775850224041e+00,4.454865894506742641e-01
9.600000000000000000e+01,2.674833083042056359e+00,2.457848043213327394e+00,2.966923226786442935e+00,2.724903152319161137e+00,4.171632785117931341e-01
9.700000000000000000e+01,2.647726297476378665e+00,2.441762278911820960e+00,2.951372883842557027e+00,2.712848009344126066e+00,4.186355588299606190e-01
9.800000000000000000e+01,2.626948807656501739e+00,2.425293083671402172e+00,2.934594686095433502e+00,2.697608910625723055e+00,4.188339049037633766e-01
9.900000000000000000e+01,2.584351570472883886e+00,2.397363248511261258e+00,2.894813573315134114e+00,2.666667357726635768e+00,4.103159289059121195e-01
1.000000000000000000e+02,2.550098623137253107e+00,2.368014796496168639e+00,2.873968302222480453e+00,2.644622524766681249e+00,4.184814021683498364e-01
1.010000000000000000e+02,2.539981419015754582e+00,2.368112207867584029e+00,2.861302267617146455e+00,2.639615843984568944e+00,4.088045164581939339e-01
1.020000000000000000e+02,2.557280415375494442e+00,2.388622781802272055e+00,2.861056924774842081e+00,2.647359665926244610e+00,3.909643828458592152e-01
1.030000000000000000e+02,2.525481712420257541e+00,2.372410665310047406e+00,2.828904974696714980e+00,2.625716522531089225e+00,3.794050758497887754e-01
1.040000000000000000e+02,2.513523990109597150e+00,2.355662987382999951e+00,2.803777923976542130e+00,2.601785944203162337e+00,3.711689873930249517e-01
1.050000000000000000e+02,2.524193713516987181e+00,2.358871244252959798e+00,2.797580717704463815e+00,2.596236736799286682e+00,3.618090196027330951e-01
1.060000000000000000e+02,2.486350839783331601e+00,2.334682883038472490e+00,2.767845472026589704e+00,2.572901956782264410e+00,3.589318880504682174e-01
1.070000000000000000e+02,2.462458825217951564e+00,2.310903874844403738e+00,2.750443735652681632e+00,2.553412131925406392e+00,3.645999334797213054e-01
1.080000000000000000e+02,2.447966383501737120e+00,2.301025736637571484e+00,2.730313569429653420e+00,2.538237409544237710e+00,3.562767529046267367e-01
1.090000000000000000e+02,2.428231425659655773e+00,2.278345600933881165e+00,2.726097149145270571e+00,2.526884691499549529e+00,3.721834664708197904e-01
1.100000000000000000e+02,2.410288445419534131e+00,2.258984646244220684e+00,2.705730524210216537e+00,2.506380631829780103e+00,3.710410226164889691e-01
1.110000000000000000e+02,2.390014480327344870e+00,2.242822617784940409e+00,2.675420107018088078e+00,2.482156989759570553e+00,3.591733743140158586e-01
1.120000000000000000e+02,2.362507609868282898e+00,2.224865859755130515e+00,2.639822528120682854e+00,2.455623055294447799e+00,3.451491477160987253e-01
1.130000000000000000e+02,2.356961007916783313e+00,2.215097373352385546e+00,2.621398148635758041e+00,2.438676678686501731e+00,3.367376903297068513e-01
1.140000000000000000e+02,2.320428155088162914e+00,2.178058686772499364e+00,2.584366582402678247e+00,2.401474127754063659e+00,3.366624851048357625e-01
1.150000000000000000e+02,2.279706109184438834e+00,2.149123853125488370e+00,2.559050053041358019e+00,2.378880567716417982e+00,3.419709240040729736e-01
1.160000000000000000e+02,2.252223127487471110e+00,2.129002396855201429e+00,2.544447738382358715e+00,2.364892380995882615e+00,3.484399539961161030e-01
1.170000000000000000e+02,2.257259410660088950e+00,2.122630959233030357e+00,2.530849223223410327e+00,2.349900318084264139e+00,3.396850544760550150e-01
1.180000000000000000e+02,2.235764189517771783e+00,2.103957096763378054e+00,2.493161012898528650e+00,2.319490676602014023e+00,3.232514829195561323e-01
1.190000000000000000e+02,2.223999822626995027e+00,2.087853203184565132e+00,2.461665747932559878e+00,2.291679359869085442e+00,3.089457432753622279e-01
1.200000000000000000e+02,2.204691760558899372e+00,2.068763923902937840e+00,2.420433498167689379e+00,2.257901027860784726e+00,2.895915618690734217e-01
1.210000000000000000e+02,2.175507712047064501e+00,2.041815556547450505e+00,2.388775690399836282e+00,2.228558260615836506e+00,2.857645942735045907e-01
1.220000000000000000e+02,2.144690934558287410e+00,2.013336214465258678e+00,2.356330087652014349e+00,2.198213889892086659e+00,2.825990411689326409e-01
